theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.57,0.52,0.776,-1.562,0.012,-0.24,0.089,-0.093,-0.094,-0.701,0.701,3.14,2.876,1.571
-1.57,0.521,0.779,-1.564,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.521,0.78,-1.565,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.522,0.781,-1.566,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.522,0.782,-1.567,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.522,0.782,-1.568,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.522,0.783,-1.568,0.012,-0.239,0.089,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.523,0.784,-1.569,0.012,-0.239,0.088,-0.093,-0.093,-0.701,0.701,3.142,2.878,1.571
-1.57,0.523,0.784,-1.569,0.012,-0.239,0.088,-0.092,-0.093,-0.701,0.701,3.14,2.879,1.571
-1.57,0.523,0.785,-1.57,0.012,-0.239,0.088,-0.092,-0.092,-0.701,0.701,3.142,2.881,1.571
-1.57,0.523,0.785,-1.57,0.012,-0.239,0.088,-0.092,-0.092,-0.701,0.701,3.142,2.881,1.571
-1.047,0.523,0.784,-1.569,0.131,-0.207,0.088,-0.065,-0.113,-0.496,0.859,3.141,2.88,2.094
-1.047,0.523,0.784,-1.569,0.131,-0.207,0.088,-0.065,-0.113,-0.496,0.859,3.141,2.88,2.094
-1.047,0.522,0.783,-1.568,0.131,-0.207,0.089,-0.065,-0.113,-0.496,0.859,3.141,2.88,2.094
-1.047,0.522,0.782,-1.568,0.132,-0.207,0.089,-0.066,-0.114,-0.496,0.859,3.141,2.878,2.094
-1.047,0.522,0.782,-1.567,0.132,-0.207,0.089,-0.066,-0.114,-0.496,0.859,3.141,2.878,2.094
-1.047,0.521,0.78,-1.565,0.132,-0.207,0.089,-0.066,-0.114,-0.496,0.859,3.141,2.878,2.094
-1.047,0.521,0.779,-1.564,0.132,-0.207,0.089,-0.066,-0.114,-0.496,0.859,3.141,2.878,2.094
-1.047,0.521,0.777,-1.563,0.132,-0.207,0.089,-0.066,-0.114,-0.496,0.858,3.141,2.877,2.093
-1.047,0.52,0.776,-1.562,0.132,-0.208,0.089,-0.066,-0.115,-0.496,0.858,3.141,2.876,2.093
-1.047,0.52,0.774,-1.56,0.132,-0.208,0.09,-0.066,-0.115,-0.496,0.858,3.141,2.876,2.093
-1.047,0.519,0.773,-1.558,0.132,-0.208,0.09,-0.066,-0.115,-0.495,0.858,3.141,2.875,2.095
-1.047,0.518,0.769,-1.555,0.132,-0.208,0.09,-0.067,-0.116,-0.495,0.858,3.141,2.873,2.095
-1.047,0.517,0.766,-1.552,0.132,-0.208,0.09,-0.067,-0.116,-0.495,0.858,3.141,2.873,2.095
-1.047,0.516,0.764,-1.55,0.133,-0.209,0.091,-0.067,-0.116,-0.495,0.858,3.141,2.873,2.095
-1.047,0.516,0.761,-1.548,0.133,-0.209,0.091,-0.067,-0.117,-0.495,0.858,3.141,2.871,2.095
-1.047,0.515,0.758,-1.545,0.133,-0.209,0.091,-0.068,-0.117,-0.495,0.858,3.141,2.87,2.095
-1.047,0.514,0.755,-1.542,0.133,-0.21,0.092,-0.068,-0.118,-0.495,0.858,3.141,2.868,2.095
-1.047,0.513,0.752,-1.539,0.133,-0.21,0.092,-0.068,-0.118,-0.495,0.858,3.141,2.868,2.095
-1.047,0.512,0.749,-1.535,0.133,-0.21,0.093,-0.069,-0.119,-0.495,0.858,3.141,2.866,2.095
-1.047,0.51,0.745,-1.532,0.134,-0.211,0.093,-0.069,-0.119,-0.495,0.858,3.141,2.866,2.095
-1.047,0.508,0.737,-1.524,0.134,-0.211,0.094,-0.07,-0.121,-0.495,0.858,3.141,2.861,2.095
-1.047,0.506,0.732,-1.52,0.134,-0.212,0.095,-0.07,-0.121,-0.495,0.858,3.141,2.861,2.095
-1.047,0.505,0.728,-1.516,0.135,-0.212,0.095,-0.071,-0.122,-0.495,0.857,3.141,2.858,2.094
-1.047,0.503,0.723,-1.511,0.135,-0.213,0.096,-0.071,-0.123,-0.495,0.857,3.142,2.857,2.094
-1.047,0.5,0.713,-1.501,0.135,-0.214,0.097,-0.072,-0.125,-0.495,0.857,3.141,2.852,2.094
-1.047,0.5,0.713,-1.501,0.135,-0.214,0.097,-0.072,-0.125,-0.495,0.857,3.141,2.852,2.094
-1.047,0.497,0.701,-1.491,0.136,-0.215,0.099,-0.073,-0.126,-0.495,0.857,3.141,2.849,2.094
-1.047,0.495,0.695,-1.485,0.136,-0.215,0.099,-0.073,-0.127,-0.494,0.857,3.141,2.848,2.096
-1.047,0.493,0.689,-1.479,0.137,-0.216,0.1,-0.074,-0.128,-0.494,0.857,3.141,2.845,2.096
-1.047,0.491,0.682,-1.473,0.137,-0.216,0.101,-0.075,-0.129,-0.494,0.856,3.141,2.842,2.095
-1.047,0.489,0.676,-1.467,0.137,-0.217,0.102,-0.075,-0.13,-0.494,0.856,3.142,2.84,2.095
