theta1,theta1_pred,theta2,theta2_pred,theta3,theta3_pred,theta4,theta4_pred
0.785,0.782755,0.003,0.0022204705,-0.864,-0.8648742,-0.008,-0.008459276
0.785,0.7770435,0.11,0.108305275,-0.513,-0.5285334,-0.34,-0.327186
0.785,0.7839701,0.0,-0.0002721958,-0.873,-0.873733,0.0,-0.0017074645
0.785,0.7861223,0.523,0.52463925,0.785,0.7846932,-1.57,-1.5712184
0.785,0.7855178,0.506,0.50833255,0.732,0.7331168,-1.52,-1.5214092
0.785,0.7858925,0.519,0.52125955,0.773,0.7737588,-1.558,-1.5601379
0.785,0.784397,0.034,0.03416187,-0.764,-0.76565844,-0.103,-0.10461852
0.785,0.78250045,0.203,0.20463677,-0.223,-0.22188786,-0.615,-0.6179147
0.785,0.78563833,0.057,0.05607898,-0.693,-0.69222695,-0.171,-0.17383334
0.785,0.7751024,0.157,0.14984325,-0.375,-0.39764598,-0.471,-0.45194817
0.785,0.783725,0.009,0.008696403,-0.843,-0.84543467,-0.028,-0.027477551
0.794,0.79299736,0.127,0.12828173,-0.467,-0.4643317,-0.384,-0.38977608
0.949,0.95725775,0.103,0.09900588,-0.545,-0.5570956,-0.31,-0.3014397
1.047,1.0466931,0.513,0.51616424,0.752,0.75681067,-1.539,-1.54383
1.047,1.0404294,0.072,0.07082905,-0.65,-0.64908284,-0.211,-0.21579947
1.047,1.0460664,0.357,0.35895523,0.254,0.253461,-1.063,-1.0690705
1.047,1.0432913,0.032,0.030390594,-0.772,-0.77605015,-0.096,-0.0932572
1.047,1.0470575,0.489,0.49152046,0.666,0.6784449,-1.458,-1.469714
1.047,1.0460756,0.003,0.0037631579,-0.862,-0.8604803,-0.01,-0.013966729
1.047,1.0456343,0.014,0.012151886,-0.829,-0.83379227,-0.042,-0.039835207
1.047,1.0460054,0.505,0.50790024,0.728,0.73033786,-1.516,-1.5184621
1.047,1.0450933,0.242,0.24081516,-0.112,-0.11645285,-0.721,-0.7182678
1.047,1.045265,0.396,0.39802608,0.374,0.37810925,-1.181,-1.1860826
